time_relative_to_merger_sec,ligo_strain,bruno_flash_strain
-0.02878144288137463,2.2798439286971682e-20,1.0654573896002403e-26
-0.02853730039371527,4.297906525237397e-20,1.142431223829259e-26
-0.02829315790605591,8.345867234678913e-20,1.2242359256930025e-26
-0.02804901541839655,4.68517474699412e-20,1.3111164085207233e-26
-0.02780487293073719,2.282494866207361e-20,1.4033256469659538e-26
-0.02756073044307783,3.279543655159764e-20,1.501124624813178e-26
-0.02731658795541847,4.9776992425624524e-20,1.6047822544031567e-26
-0.02707244546775911,5.584865632498307e-20,1.714575265979534e-26
-0.02682830298009975,6.721032069440473e-21,1.8307880652703615e-26
-0.02658416049244039,-1.325679765410853e-22,1.9537125576382393e-26
-0.02634001800478103,5.2850754736395425e-20,2.083647937162407e-26
-0.02609587551712167,3.4569342198974e-20,2.2209004390559203e-26
-0.02585173302946231,-5.011861032021947e-21,2.3657830538713027e-26
-0.02560759054180295,2.947028006457526e-21,2.5186152020094155e-26
-0.02536344805414359,1.9692362040658038e-20,2.6797223671189526e-26
-0.02511930556648423,3.027631579228132e-20,2.8494356870583856e-26
-0.02487516307882487,-5.351338691516195e-21,3.028091501188682e-26
-0.02463102059116551,-3.3699484811591224e-20,3.216030852873833e-26
-0.02438687810350615,1.5193599136753982e-20,3.413598946187478e-26
-0.02414273561584679,2.0515784476916304e-20,3.6211445559577453e-26
-0.02389859312818743,-2.8857384395067584e-20,3.839019390428863e-26
-0.02365445064052807,-2.820731136477346e-20,4.067577405977238e-26
-0.02341030815286871,-8.16871084282615e-21,4.307174073491339e-26
-0.02316616566520935,1.753810210306667e-21,4.5581655962086834e-26
-0.02292202317754999,-1.8311328979459298e-20,4.8209080789992835e-26
-0.022677880689890628,-5.873048238193967e-20,5.0957566492927614e-26
-0.022433738202231268,-2.6000458753942145e-20,5.383064530065306e-26
-0.022189595714571908,4.9984577508489506e-21,5.683182065532486e-26
-0.021945453226912548,-4.430330884547463e-20,5.99645570043375e-26
-0.021701310739253188,-5.859873889800244e-20,6.323226914043613e-26
-0.021457168251593828,-3.5296073828965975e-20,6.663831110302221e-26
