name,ra_deg,dec_deg,redshift,lumdist_mpc,type,discover_date,fluence_j_m2,Bruno_Trigger
GRB 910814C,346.35,30.43,,,LGRB,1991/08/14,,False
GRB 910815,142.76999999999998,-36.05,,,LGRB,1991/08/15,,False
GRB 910816A,221.03,-59.09,,,LGRB,1991/08/16,,False
GRB 910816B,172.59999999999997,1.4800000000000002,,,LGRB,1991/08/16,,False
GRB 910817,90.11,27.08,,,LGRB,1991/08/17,,False
GRB 910818,268.34,-27.09,,,LGRB,1991/08/18,,False
GRB 910821,292.46,-63.52,,,LGRB,1991/08/21,,False
GRB 910822,269.86999999999995,43.74,,,LGRB,1991/08/22,,False
GRB 910823,105.64999999999998,8.06,,,LGRB,1991/08/23,,False
GRB 910829,59.03,22.96,,,LGRB,1991/08/29,,False
